,name,birthdate,positions
0,Jeffrey R. Holland," (1940-12-03) December 3, 1940 (age 83)","Acting President of the Quorum of the Twelve Apostles[1], called by Russell M. Nelson, November 15, 2023 (2023-11-15)[2]Quorum of the Twelve Apostles, called by Howard W. Hunter, June 23, 1994 (1994-06-23)LDS Church Apostle, called by Howard W. Hunter, June 23, 1994 (1994-06-23)First Quorum of the Seventy, called by Ezra Taft Benson, April 1, 1989 (1989-04-01) – June 23, 1994 (1994-06-23)"
1,Dieter F. Uchtdorf, (1940-11-06) 6 November 1940 (age 83),"Quorum of the Twelve Apostles, January 2, 2018 (2018-01-02) – presentSecond Counselor in the First Presidency, called by Thomas S. Monson, February 3, 2008 (2008-02-03) – January 2, 2018 (2018-01-02)Quorum of the Twelve Apostles, called by Gordon B. Hinckley, October 2, 2004 (2004-10-02) – February 3, 2008 (2008-02-03)LDS Church Apostle, called by Gordon B. Hinckley, October 7, 2004 (2004-10-07)Presidency of the Seventy, called by Gordon B. Hinckley, 15 August 2002 (2002-08-15) – 2 October 2004 (2004-10-02)First Quorum of the Seventy, called by Gordon B. Hinckley, April 7, 1996 (1996-04-07) – October 2, 2004 (2004-10-02)Second Quorum of the Seventy, called by Ezra Taft Benson, April 2, 1994 (1994-04-02) – April 7, 1996 (1996-04-07)"
2,David A. Bednar," (1952-06-15) June 15, 1952 (age 72)","Quorum of the Twelve Apostles, called by Gordon B. Hinckley, October 2, 2004 (2004-10-02)LDS Church Apostle, called by Gordon B. Hinckley, October 7, 2004 (2004-10-07)"
3,Quentin L. Cook," (1940-09-08) September 8, 1940 (age 84)","Quorum of the Twelve Apostles, called by Gordon B. Hinckley, October 6, 2007 (2007-10-06)LDS Church Apostle, called by Gordon B. Hinckley, October 11, 2007 (2007-10-11)Presidency of the Seventy, called by Gordon B. Hinckley, August 1, 2007 (2007-08-01) – October 6, 2007 (2007-10-06)First Quorum of the Seventy, called by Gordon B. Hinckley, April 5, 1998 (1998-04-05) – October 6, 2007 (2007-10-06)Second Quorum of the Seventy, called by Gordon B. Hinckley, April 6, 1996 (1996-04-06) – April 5, 1998 (1998-04-05)"
4,D. Todd Christofferson," (1945-01-24) January 24, 1945 (age 79)","Quorum of the Twelve Apostles, called by Thomas S. Monson, April 5, 2008 (2008-04-05)LDS Church Apostle, called by Thomas S. Monson, April 10, 2008 (2008-04-10)Presidency of the Seventy, called by Gordon B. Hinckley, August 15, 1998 (1998-08-15) – April 5, 2008 (2008-04-05)First Quorum of the Seventy, called by Ezra Taft Benson, April 3, 1993 (1993-04-03) – April 5, 2008 (2008-04-05)"
5,Neil L. Andersen," (1951-08-09) August 9, 1951 (age 73)","Quorum of the Twelve Apostles, called by Thomas S. Monson, April 4, 2009 (2009-04-04)LDS Church Apostle, called by Thomas S. Monson, April 9, 2009 (2009-04-09)Presidency of the Seventy, called by Gordon B. Hinckley, August 15, 2005 (2005-08-15) – April 4, 2009 (2009-04-04)First Quorum of the Seventy, called by Ezra Taft Benson, April 3, 1993 (1993-04-03) – April 4, 2009 (2009-04-04)"
6,Ronald A. Rasband," (1951-02-06) February 6, 1951 (age 73)","Quorum of the Twelve Apostles, called by Thomas S. Monson, October 3, 2015 (2015-10-03)LDS Church Apostle, called by Thomas S. Monson, October 8, 2015 (2015-10-08)Presidency of the Seventy, called by Gordon B. Hinckley, August 15, 2005 (2005-08-15) – October 3, 2015 (2015-10-03)First Quorum of the Seventy, called by Gordon B. Hinckley, April 1, 2000 (2000-04-01) – October 3, 2015 (2015-10-03)"
7,Gary E. Stevenson," (1955-08-06) August 6, 1955 (age 69)","Quorum of the Twelve Apostles, called by Thomas S. Monson, October 3, 2015 (2015-10-03)LDS Church Apostle, called by Thomas S. Monson, October 8, 2015 (2015-10-08)Presiding Bishop, called by Thomas S. Monson, March 31, 2012 (2012-03-31) – October 9, 2015 (2015-10-09)First Quorum of the Seventy, called by Thomas S. Monson, April 5, 2008 (2008-04-05) – March 31, 2012 (2012-03-31)"
8,Dale G. Renlund," (1952-11-13) November 13, 1952 (age 71)","Quorum of the Twelve Apostles, called by Thomas S. Monson, October 3, 2015 (2015-10-03)LDS Church Apostle, called by Thomas S. Monson, October 8, 2015 (2015-10-08)First Quorum of the Seventy, called by Thomas S. Monson, April 4, 2009 (2009-04-04) – October 3, 2015 (2015-10-03)"
9,Gerrit W. Gong," (1953-12-23) December 23, 1953 (age 70)","Quorum of the Twelve Apostles, called by Russell M. Nelson, March 31, 2018 (2018-03-31)LDS Church Apostle, called by Russell M. Nelson, April 5, 2018 (2018-04-05)Presidency of the Seventy, called by Thomas S. Monson, October 6, 2015 (2015-10-06) – March 31, 2018 (2018-03-31)First Quorum of the Seventy, called by Thomas S. Monson, April 3, 2010 (2010-04-03)[3][4] – March 31, 2018 (2018-03-31)"
10,Ulisses Soares," (1958-10-02) October 2, 1958 (age 65)","Quorum of the Twelve Apostles, called by Russell M. Nelson, March 31, 2018 (2018-03-31)LDS Church Apostle, called by Russell M. Nelson, April 5, 2018 (2018-04-05)Presidency of the Seventy, called by Thomas S. Monson, January 6, 2013 (2013-01-06) – March 31, 2018 (2018-03-31)First Quorum of the Seventy, called by Gordon B. Hinckley, April 2, 2005 (2005-04-02) – March 31, 2018 (2018-03-31)"
11,Patrick Kearon," (1961-07-18) July 18, 1961 (age 63)","Quorum of the Twelve Apostles, called by Russell M. Nelson, December 7, 2023 (2023-12-07)LDS Church Apostle, called by Russell M. Nelson, December 7, 2023 (2023-12-07)Presidency of the Seventy, called by Thomas S. Monson, August 2017 (2017-08) – December 7, 2023 (2023-12-07)First Quorum of the Seventy, called by Thomas S. Monson, April 3, 2010 (2010-04-03) – December 7, 2023 (2023-12-07)"
12,Thomas B. Marsh,"(1800-11-01)November 1, 1800[5]","President of the Quorum of the Twelve Apostles, April 25, 1835 (1835-04-25) – March 17, 1839 (1839-03-17)Quorum of the Twelve Apostles, called by Three Witnesses, April 25, 1835 (1835-04-25) – March 17, 1839 (1839-03-17)Latter Day Saint Apostle, called by Three Witnesses, April 25, 1835 (1835-04-25) – March 17, 1839 (1839-03-17)"
13,David W. Patten,"(1799-11-14)November 14, 1799","Quorum of the Twelve Apostles, called by Three Witnesses, February 15, 1835 (1835-02-15) – October 25, 1838 (1838-10-25)Latter Day Saint Apostle, called by Three Witnesses, February 15, 1835 (1835-02-15) – October 25, 1838 (1838-10-25)"
14,Brigham Young,"(1801-06-01)June 1, 1801","2nd President of the Church of Jesus Christ of Latter-day Saints, December 27, 1847 (1847-12-27) – August 29, 1877 (1877-08-29)President of the Quorum of the Twelve Apostles, April 14, 1840 (1840-04-14) – December 27, 1847 (1847-12-27)Quorum of the Twelve Apostles, called by Three Witnesses, February 14, 1835 (1835-02-14) – December 27, 1847 (1847-12-27)LDS Church Apostle, called by Three Witnesses, February 14, 1835 (1835-02-14) – August 29, 1877 (1877-08-29)"
15,Heber C. Kimball,"(1801-06-14)June 14, 1801","First Counselor in the First Presidency, called by Brigham Young, December 27, 1847 (1847-12-27) – June 22, 1868 (1868-06-22)Quorum of the Twelve Apostles, called by Three Witnesses, February 14, 1835 (1835-02-14) – December 27, 1847 (1847-12-27)LDS Church Apostle, called by Three Witnesses, February 14, 1835 (1835-02-14) – June 22, 1868 (1868-06-22)"
16,Orson Hyde,"(1805-01-08)January 8, 1805","President of the Quorum of the Twelve Apostles, December 27, 1847 (1847-12-27) – April 10, 1875 (1875-04-10)Quorum of the Twelve Apostles, June 27, 1839 (1839-06-27) – November 28, 1878 (1878-11-28)Quorum of the Twelve Apostles, called by Three Witnesses, February 15, 1835 (1835-02-15) – May 4, 1839 (1839-05-04)LDS Church Apostle, called by Three Witnesses, February 15, 1835 (1835-02-15) – November 28, 1878 (1878-11-28)"
17,William E. McLellin,"(1806-01-18)January 18, 1806","Quorum of the Twelve Apostles, called by Three Witnesses, February 15, 1835 (1835-02-15) – May 11, 1838 (1838-05-11)Latter Day Saint Apostle, called by Three Witnesses, February 15, 1835 (1835-02-15) – May 11, 1838 (1838-05-11)"
18,Parley P. Pratt,"(1807-04-12)April 12, 1807","Quorum of the Twelve Apostles, called by Three Witnesses, February 21, 1835 (1835-02-21) – May 13, 1857 (1857-05-13)LDS Church Apostle, called by Three Witnesses, February 21, 1835 (1835-02-21) – May 13, 1857 (1857-05-13)"
19,Luke Johnson,"(1807-11-03)November 3, 1807","Quorum of the Twelve Apostles, called by Three Witnesses, February 15, 1835 (1835-02-15) – September 3, 1837 (1837-09-03)Latter Day Saint Apostle, called by Three Witnesses, February 15, 1835 (1835-02-15) – December 31, 1837 (1837-12-31)"
20,William Smith,"(1811-03-13)March 13, 1811","Petitioner for Patriarchate (RLDS Church), called by Joseph Smith III, April 6, 1872 (1872-04-06) – November 13, 1893 (1893-11-13)3rd Presiding Patriarch (LDS Church), May 24, 1845 (1845-05-24) – October 6, 1845 (1845-10-06)Quorum of the Twelve Apostles, May 25, 1839 (1839-05-25) – October 6, 1845 (1845-10-06)Quorum of the Twelve Apostles, called by Three Witnesses, February 15, 1835 (1835-02-15) – May 4, 1839 (1839-05-04)Latter Day Saint Apostle, called by Joseph Smith, February 15, 1835 (1835-02-15) – October 6, 1845 (1845-10-06)"
21,Orson Pratt,"(1811-09-19)September 19, 1811","Quorum of the Twelve Apostles, January 20, 1843 (1843-01-20) – October 3, 1881 (1881-10-03)Quorum of the Twelve Apostles, called by Three Witnesses, April 26, 1835 (1835-04-26) – August 20, 1842 (1842-08-20)LDS Church Apostle, called by Three Witnesses, April 26, 1835 (1835-04-26)"
22,John F. Boynton,"(1811-09-20)September 20, 1811","Quorum of the Twelve Apostles, called by Three Witnesses, February 15, 1835 (1835-02-15) – September 3, 1837 (1837-09-03)Latter Day Saint Apostle, called by Three Witnesses, February 15, 1835 (1835-02-15) – December 3, 1837 (1837-12-03)"
23,Lyman E. Johnson,"(1811-10-24)October 24, 1811","Quorum of the Twelve Apostles, called by Three Witnesses, February 14, 1835 (1835-02-14) – September 3, 1837 (1837-09-03)[7]Latter Day Saint Apostle, called by Three Witnesses, February 14, 1835 (1835-02-14) – April 13, 1838 (1838-04-13)"
24,John E. Page,"(1799-02-25)February 25, 1799","Quorum of the Twelve Apostles, called by Joseph Smith, December 19, 1838 (1838-12-19) – February 9, 1846 (1846-02-09)Latter Day Saint Apostle, called by Joseph Smith, December 19, 1838 (1838-12-19) – June 27, 1846 (1846-06-27)"
25,John Taylor,"(1808-11-01)November 1, 1808","3rd President of the Church of Jesus Christ of Latter-day Saints, October 10, 1880 (1880-10-10) – July 25, 1887 (1887-07-25)President of the Quorum of the Twelve Apostles, April 10, 1875 (1875-04-10) – October 10, 1880 (1880-10-10)Quorum of the Twelve Apostles, called by Joseph Smith, December 19, 1838 (1838-12-19) – October 10, 1880 (1880-10-10)LDS Church Apostle, called by Joseph Smith, December 19, 1838 (1838-12-19) – July 25, 1887 (1887-07-25)"
26,Wilford Woodruff,"(1807-03-01)March 1, 1807","4th President of the Church of Jesus Christ of Latter-day Saints, April 7, 1889 (1889-04-07) – September 2, 1898 (1898-09-02)President of the Quorum of the Twelve Apostles, October 10, 1880 (1880-10-10) – April 7, 1889 (1889-04-07)Quorum of the Twelve Apostles, called by Joseph Smith, April 26, 1839 (1839-04-26) – April 7, 1889 (1889-04-07)Apostle, called by Joseph Smith, April 26, 1839 (1839-04-26) – September 2, 1898 (1898-09-02)"
27,George A. Smith,"(1817-06-26)June 26, 1817","First Counselor in the First Presidency, called by Brigham Young, October 7, 1868 (1868-10-07) – September 1, 1875 (1875-09-01)Quorum of the Twelve Apostles, called by Joseph Smith, April 26, 1839 (1839-04-26) – October 7, 1868 (1868-10-07)LDS Church Apostle, called by Joseph Smith, April 26, 1839 (1839-04-26) – September 1, 1875 (1875-09-01)"
28,Willard Richards,"(1804-06-24)June 24, 1804","Second Counselor in the First Presidency, called by Brigham Young, December 27, 1847 (1847-12-27) – March 11, 1854 (1854-03-11)Quorum of the Twelve Apostles, called by Joseph Smith, April 14, 1840 (1840-04-14) – December 27, 1847 (1847-12-27)LDS Church Apostle, called by Joseph Smith, April 14, 1840 (1840-04-14) – March 11, 1854 (1854-03-11)"
29,Lyman Wight,"(1796-05-09)May 9, 1796","President of the Church of Christ[8], 1844 – 1858Quorum of the Twelve Apostles, called by Joseph Smith, April 8, 1841 (1841-04-08) – December 3, 1848 (1848-12-03)Latter Day Saint Apostle, called by Joseph Smith, April 8, 1841 (1841-04-08) – December 3, 1848 (1848-12-03)"
30,Amasa Lyman,"(1813-03-30)March 30, 1813","Quorum of the Twelve Apostles, October 6, 1845 (1845-10-06) – October 6, 1867 (1867-10-06)Counselor in the First Presidency, called by Joseph Smith, February 4, 1843 (1843-02-04) – June 27, 1844 (1844-06-27)Quorum of the Twelve Apostles, called by Joseph Smith, August 20, 1842 (1842-08-20) – January 20, 1843 (1843-01-20)Latter Day Saint Apostle, called by Joseph Smith, August 20, 1842 (1842-08-20) – October 6, 1867 (1867-10-06)"
31,Ezra T. Benson,"(1811-02-22)February 22, 1811","Quorum of the Twelve Apostles, called by Brigham Young, July 16, 1846 (1846-07-16) – September 3, 1869 (1869-09-03)LDS Church Apostle, called by Brigham Young, July 16, 1846 (1846-07-16) – September 3, 1869 (1869-09-03)"
32,Charles C. Rich,"(1809-08-21)August 21, 1809","Quorum of the Twelve Apostles, called by Brigham Young, February 12, 1849 (1849-02-12) – November 17, 1883 (1883-11-17)LDS Church Apostle, called by Brigham Young, February 12, 1849 (1849-02-12) – November 17, 1883 (1883-11-17)"
33,Lorenzo Snow,"(1814-04-03)April 3, 1814","5th President of the Church of Jesus Christ of Latter-day Saints, September 13, 1898 (1898-09-13) – October 10, 1901 (1901-10-10)President of the Quorum of the Twelve Apostles, April 7, 1889 (1889-04-07) – September 13, 1898 (1898-09-13)Quorum of the Twelve Apostles, August 29, 1877 (1877-08-29) – September 13, 1898 (1898-09-13)Assistant Counselor in the First Presidency, called by Brigham Young, May 9, 1874 (1874-05-09) – August 29, 1877 (1877-08-29)Counselor in the First Presidency, called by Brigham Young, June 8, 1873 (1873-06-08) – May 9, 1874 (1874-05-09)Quorum of the Twelve Apostles, called by Brigham Young, February 12, 1849 (1849-02-12) – June 8, 1873 (1873-06-08)LDS Church Apostle, called by Brigham Young, February 12, 1849 (1849-02-12) – October 10, 1901 (1901-10-10)"
34,Erastus Snow,"(1818-11-09)November 9, 1818","Quorum of the Twelve Apostles, called by Brigham Young, February 12, 1849 (1849-02-12) – May 27, 1888 (1888-05-27)LDS Church Apostle, called by Brigham Young, February 12, 1849 (1849-02-12) – May 27, 1888 (1888-05-27)"
35,Franklin D. Richards I,"(1821-04-02)April 2, 1821","President of the Quorum of the Twelve Apostles, September 13, 1898 (1898-09-13) – December 9, 1899 (1899-12-09)Quorum of the Twelve Apostles, called by Brigham Young, February 12, 1849 (1849-02-12) – December 9, 1899 (1899-12-09)LDS Church Apostle, called by Brigham Young, February 12, 1849 (1849-02-12) – December 9, 1899 (1899-12-09)"
36,George Q. Cannon,"(1827-01-11)January 11, 1827","First Counselor in the First Presidency, called by Lorenzo Snow, September 13, 1898 (1898-09-13) – April 12, 1901 (1901-04-12)First Counselor in the First Presidency, called by Wilford Woodruff, April 7, 1889 (1889-04-07) – September 2, 1898 (1898-09-02)Quorum of the Twelve Apostles, July 25, 1887 (1887-07-25) – April 7, 1889 (1889-04-07)First Counselor in the First Presidency, called by John Taylor, October 10, 1880 (1880-10-10) – July 25, 1887 (1887-07-25)Quorum of the Twelve Apostles, August 29, 1877 (1877-08-29) – October 10, 1880 (1880-10-10)Assistant Counselor in the First Presidency, called by Brigham Young, May 9, 1874 (1874-05-09) – August 29, 1877 (1877-08-29)Counselor in the First Presidency, called by Brigham Young, June 8, 1873 (1873-06-08) – May 9, 1874 (1874-05-09)Quorum of the Twelve Apostles, called by Brigham Young, August 26, 1860 (1860-08-26) – June 8, 1873 (1873-06-08)LDS Church Apostle, called by Brigham Young, August 26, 1860 (1860-08-26) – April 12, 1901 (1901-04-12)"
37,Joseph F. Smith,"(1838-11-13)November 13, 1838","6th President of the Church of Jesus Christ of Latter-day Saints, October 17, 1901 (1901-10-17) – November 19, 1918 (1918-11-19)President of the Quorum of the Twelve Apostles, October 10, 1901 (1901-10-10) – October 17, 1901 (1901-10-17)First Counselor in the First Presidency, called by Lorenzo Snow, October 6, 1901 (1901-10-06) – October 10, 1901 (1901-10-10)Second Counselor in the First Presidency, called by Wilford Woodruff, April 7, 1889 (1889-04-07) – October 6, 1901 (1901-10-06)Quorum of the Twelve Apostles, July 25, 1887 (1887-07-25) – April 7, 1889 (1889-04-07)Second Counselor in the First Presidency, called by John Taylor, October 10, 1880 (1880-10-10) – July 25, 1887 (1887-07-25)Quorum of the Twelve Apostles, August 29, 1877 (1877-08-29) – October 10, 1880 (1880-10-10)Counselor in the First Presidency, called by Brigham Young, July 1, 1866 (1866-07-01) – August 29, 1877 (1877-08-29)LDS Church Apostle, called by Brigham Young, July 1, 1866 (1866-07-01) – November 19, 1918 (1918-11-19T1838)"
38,Brigham Young Jr.,"(1836-12-18)December 18, 1836","President of the Quorum of the Twelve Apostles, October 17, 1901 (1901-10-17) – April 11, 1903 (1903-04-11)Quorum of the Twelve Apostles, August 29, 1877 (1877-08-29) – April 11, 1903 (1903-04-11)Assistant Counselor in the First Presidency, called by Brigham Young, May 9, 1874 (1874-05-09) – August 29, 1877 (1877-08-29)Counselor in the First Presidency, called by Brigham Young, June 8, 1873 (1873-06-08) – May 9, 1874 (1874-05-09)Quorum of the Twelve Apostles, called by Brigham Young, October 9, 1868 (1868-10-09) – June 8, 1873 (1873-06-08)LDS Church Apostle, called by Brigham Young, February 4, 1864 (1864-02-04) – April 11, 1903 (1903-04-11)"
39,Albert Carrington,"(1813-01-08)January 8, 1813","Quorum of the Twelve Apostles, August 29, 1877 (1877-08-29) – November 7, 1885 (1885-11-07)Assistant Counselor in the First Presidency, called by Brigham Young, May 9, 1874 (1874-05-09) – August 29, 1877 (1877-08-29)Counselor in the First Presidency, called by Brigham Young, June 8, 1873 (1873-06-08) – May 9, 1874 (1874-05-09)Quorum of the Twelve Apostles, called by Brigham Young, July 3, 1870 (1870-07-03) – June 8, 1873 (1873-06-08)LDS Church Apostle, called by Brigham Young, July 3, 1870 (1870-07-03) – November 7, 1885 (1885-11-07)"
40,Moses Thatcher,"(1842-02-02)February 2, 1842","Quorum of the Twelve Apostles, called by John Taylor, April 9, 1879 (1879-04-09) – April 6, 1896 (1896-04-06)LDS Church Apostle, called by John Taylor, April 9, 1879 (1879-04-09) – August 21, 1909 (1909-08-21)[10]"
41,Francis M. Lyman,"(1840-01-12)January 12, 1840","President of the Quorum of the Twelve Apostles, October 6, 1903 (1903-10-06) – November 18, 1916 (1916-11-18)Quorum of the Twelve Apostles, called by John Taylor, October 27, 1880 (1880-10-27) – November 18, 1916 (1916-11-18)LDS Church Apostle, called by John Taylor, October 27, 1880 (1880-10-27) – November 18, 1916 (1916-11-18)"
42,John Henry Smith,"(1848-09-18)September 18, 1848","Second Counselor in the First Presidency, called by Joseph F. Smith, April 7, 1910 (1910-04-07) – October 13, 1911 (1911-10-13)Quorum of the Twelve Apostles, called by John Taylor, October 27, 1880 (1880-10-27) – April 7, 1910 (1910-04-07)LDS Church Apostle, called by John Taylor, October 27, 1880 (1880-10-27) – October 13, 1911 (1911-10-13)"
43,George Teasdale,(1831-12-08)8 December 1831,"Quorum of the Twelve Apostles, called by John Taylor, 16 October 1882 (1882-10-16) – 9 June 1907 (1907-06-09)LDS Church Apostle, called by John Taylor, 16 October 1882 (1882-10-16) – 9 June 1907 (1907-06-09)"
